y,OceanHeatInJoules
1961,-2.351233333
1962,-1.311233333
1963,-2.508233333
1964,-3.357233333
1965,-3.296233333
1966,-4.180233333
1967,-4.597233333
1968,-5.964233333
1969,-4.717233333
1970,-5.534233333
1971,-4.003233333
1972,-5.475233333
1973,-3.755233333
1974,-3.011233333
1975,-1.787233333
1976,-2.839233333
1977,-0.204233333
1978,-0.184233333
1979,-1.196233333
1980,0.854766667
1981,-0.114233333
1982,-2.542233333
1983,-2.999233333
1984,-0.695233333
1985,-0.126233333
1986,-1.273233333
1987,-1.129233333
1988,0.851766667
1989,0.666766667
1990,-0.059233333
1991,2.409766667
1992,0.335766667
1993,0.447766667
1994,1.273766667
1995,2.027766667
1996,4.307766667
1997,3.008766667
1998,4.067766667
1999,5.706766667
2000,5.435766667
2001,3.880766667
2002,6.552766667
2003,9.715766667
2004,10.00376667
2005,8.175766667
2006,10.19376667
2007,9.241766667
2008,9.815766667
2009,9.889766667
2010,10.13076667
2011,10.63276667
2012,10.70476667
2013,12.36476667
2014,13.02476667
2015,14.88576667
2016,13.73576667
2017,15.64176667
2018,16.48576667
2019,17.48976667
